FirstName,LastName,Age,GPA,Father Name, Mother Name,Address,PhoneNumber, Date
Kayle,Lee,4,3.6,Nick,Mary,Blacksburg,6554223117,2022/12/7
Jack,Khoury,7,2.5,Cole,Hailey,Pittsburgh,8632104678,2022/8/30
Kevin,Melsis,6,2.8,Micheal,Shiloh,Cleveland,3678902345,2022/7/17
Dela,Avdih,8,2.5,Zack,Angelina ,Chicago,7841355566,2022/7/19
Angela,Dcosta,3,2.9,Cody,Jennifer ,Austin,8234172992,2022/8/20
Ana,Roder,9,2.7,Karan,Courtney,Dallas,9236178456,2022/9/19
Selena,Gomez,43,3.2,Kabir,Lisa,Arlington,4610870632,2020/10/20
Ana ,Grey,4,3.3,Bucky,Lily,New York City,5187455290,2021/5/11
Addison,Brown,5,3.7,Brad,Bennita,San Francisco,2134589031,2020/11/13
Ryan,Johnson,17,3.9,Mosh,Diana ,New York City,2047156788,2019/11/9
Aman,Dave,1,3.8,Corey,Margaret,New Orleans,7963462134,2021/9/16
Sean,Baldwin,5,3.6,Travis,Grace,San Diego,6722355689,2019/3/12
Camilla,Parker,11,3.4,Kanye,North,Washington,9133899045,2021/8/13
Elizabeth,Windsor,4,3.7,Tristan,Chi,Seattle,2014357890,2020/4/14
Shawn,Mendes,12,2.9,Devin,Khloe,Denver ,1013567233,2023/4/24
Brittany,Spears,42,2.6,Harry,Darla,Detroit,6173732772,2022/7/12
Lindsay,Lohan,6,4,Zayn,Gigi,San Jose,6173734554,2022/9/18
Cheryl,Shadwick,10,3.6,Liam,Bella,Atlanta,6173435409,2021/11/12
Trelli,Bob,6,3.5,Niall,Yolanda,Nashville,2041265688,2021/6/10
Scott,Timothy,24,2.8,Kevin,Kim,Boston,6178576456,2020/6/12
Aline,Rose,13,2.9,Dannon,Kendell,Los Angeles,7852341668,2021/5/27
Gwen,Mcrath,23,3.6,Bob,Kylie,Calabassas,6178945967,2021/9/14
Priscila,Wong,5,3.1,Mike,Kristen,Gainsville,7862134588,2022/8/24
Kayle,Lee,4,3.6,Nick,Mary,Blacksburg,6554223117,2020/12/7
Jack,Khoury,7,2.5,Cole,Hailey,Pittsburgh,8632104678,2019/8/30
Kevin,Melsis,26,2.8,Micheal,Shiloh,Cleveland,3678902345,2019/7/17
Dela,Avdih,8,2.5,Zack,Angelina ,Chicago,7841355566,2022/7/19
Angela,Dcosta,43,2.9,Cody,Jennifer ,Austin,8234172992,2020/8/20
Ana,Roder,9,2.7,Karan,Courtney,Dallas,9236178456,2010/9/19
